RecSN,DetectDateTime,TagID_Hex,GPS Names,rkm,Genrkm,Rel_group,FishID,Lat,Lon,Weight,Length,ID
2017-6037,3/27/2019 17:51:21,C535,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.6,84,964204
2017-6037,3/27/2019 17:51:26,C535,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.6,84,964210
2017-6037,3/27/2019 17:51:51,C535,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.6,84,964235
2017-6037,3/27/2019 17:52:02,C535,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.6,84,964246
2017-6037,3/27/2019 17:52:07,C535,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.6,84,964252
2017-6037,3/27/2019 17:52:37,C535,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.6,84,964281
2017-6037,3/27/2019 17:52:47,C535,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.6,84,964287
2017-6037,3/27/2019 17:53:02,C535,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.6,84,964304
2017-6037,3/27/2019 17:53:12,C535,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.6,84,964315
2017-6037,3/27/2019 17:53:58,C535,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.6,84,964358
2017-6037,3/27/2019 17:54:03,C535,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.6,84,964365
2017-6037,3/27/2019 17:54:13,C535,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.6,84,964375
2017-6037,3/27/2019 17:54:38,C535,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.6,84,964396
2017-6037,3/27/2019 17:54:49,C535,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.6,84,964405
2017-6037,3/27/2019 17:54:59,C535,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.6,84,964420
2017-6037,3/27/2019 17:55:04,C535,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.6,84,964428
2017-6037,3/27/2019 17:55:14,C535,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.6,84,964440
2017-6037,3/27/2019 17:55:34,C535,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.6,84,964461
2017-6037,3/27/2019 17:55:44,C535,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.6,84,964468
