RecSN,dtf,Hex,GPS Names,rkm,Genrkm,Rel_group,FishID,Lat,Lon,Weight,Length,Surgeon,ID
Downstream_Release,3/12/2019 20:41,CB49,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.8,80,,
Downstream_Release,3/12/2019 20:41,CAEE,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.8,79,,
Downstream_Release,3/12/2019 20:41,CACB,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.7,81,,
Downstream_Release,3/12/2019 20:41,C9A8,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.1,81,,
Downstream_Release,3/12/2019 20:41,C932,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.5,85,,
Downstream_Release,3/12/2019 20:41,CA34,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.9,82,,
Downstream_Release,3/12/2019 20:41,CA48,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.7,80,,
Downstream_Release,3/12/2019 20:41,CAE5,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.4,84,,
Downstream_Release,3/12/2019 20:41,BD45,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.59,80,,
Downstream_Release,3/12/2019 20:41,C594,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.07,81,,
Downstream_Release,3/12/2019 20:41,C5A5,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.01,78,,
Downstream_Release,3/12/2019 20:41,BB6B,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.33,79,,
Downstream_Release,3/12/2019 20:41,BD76,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.16,80,,
Downstream_Release,3/12/2019 20:41,C12A,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.06,77,,
