GPS Names,SN,Filename,Rec Make,Rec Battery Start,Start Study,End Study,End Time (out of water),Temp Logger SN,Beacon ID,Beacon Burst Rate,Rec Battery End,Battery,BatteryID,Bat life days,BatVoltStart,BatVoltEnd,File Size (KB),Rec Deployment Notes,Detection Notes,Even more comments,Mooring Type,Last valid detection,Data Coverage,Coverage Problem,Recovered by,Deployed by,Rec Time clock set at,Real time (PC) stop at,Rec time stop at,difference between real time - rec time
MidR_hwy4_1_J,20156002,,Teknologic,2/6/2019,3/25/2019 11:47,5/22/2019 12:04,5/28/2019 16:49,,,,,DEAD,,,4.23,2.9,,"redeployed;Mid season DL- rec DOA, got data through 5/22, replaced with rec 2015-6003",,,,,,,,,,,,
MidR_hwy4_1_J,20156003,,Teknologic,5/15/2019,5/28/2019 16:58,7/3/2019 10:10,7/3/2019 10:10,,,,,ALIVE,,,,3.6,,redeployed; final retrieval TT00CA@ 10:10,,,,,,,,,,,,
MidR_hwy4_2_J,20176006,,Teknologic,2/2/2019,2/8/2019 10:12,3/25/2019 11:55,,,F6AA,60,,,,,4.2,,,initial deployment TT00CA @ 9:59;functionality check- all good TT00c9@11:55,,"same location as 2018, used same cable and weights",T post,,,,,"CH, WX, HB",,,,
MidR_hwy4_2_J,20176006,,Teknologic,2/2/2019,3/25/2019 12:15,5/28/2019 17:15,,,F6AA,60,,,,,4.2,,,"redeployed; Mid season DL- got all data TT00C9@ 17:17, SYNCED CLOCK",,,,,,,,,,,,
MidR_hwy4_2_J,20176006,,Teknologic,2/2/2019,5/28/2019 17:34,6/8/2019 18:07,7/3/2019 10:40,,F6AA,60,,DEAD,,,,3,,redeployed; final retrieval DOA,,,,,,,,,,,,
MidR_hwy4_3_J,20176027,,Teknologic,2/6/2019,2/8/2019 10:25,3/25/2019 12:19,,,,,,,,,4.22,,,initial deployment TT00CA @ 10:19; functionality check- all good TT00c9@ 12:20,,"same location as 2018, used same cable and weights",T post,,,,,"CH, WX, HB",,,,
MidR_hwy4_3_J,20176027,,Teknologic,2/6/2019,3/25/2019 12:33,5/28/2019 17:40,,,,,,,,,,,,"redeployed; mid season DL- got all data TT00C9 @ 17:41 , SYNCED CLOCK",,,,,,,,,,,,
MidR_hwy4_3_J,20176027,,Teknologic,2/6/2019,5/28/2019 17:54,6/18/2019 11:05,7/3/2019 9:30,,,,,DEAD,,,,3,,redeployed; final retrieval DOA,,,,,,,,,,,,
MidR_hwy4_4_J,20156007,,Teknologic,2/6/2019,2/8/2019 10:38,3/25/2019 12:38,3/25/2019 12:38,,,,,,,,4.15,,,"initial deployment TT00CA @ 10:30;functionality check, data donlaoded with unknown file names- SD card maflunction? Swapped out and replaced with 20156010 TT00C9 @ 12:55",,"same location as 2018, used same cable and weights",T post,,,,,"CH, WX, HB",,,,
MidR_hwy4_4_J,20156010,,Teknologic,3/8/2019,3/25/2019 12:58,5/28/2019 17:58,,,,,,,,,,,,"redeployed with new rec; mid-season DL- got all data TT00C9 @ 17:59, SYNCED CLOCK",,,,,,,,,,,,
MidR_hwy4_4_J,20156010,,Teknologic,3/8/2019,5/28/2019 18:09,7/3/2019 9:50,7/3/2019 9:50,,,,,ALIVE,,,,3.3,,redeployed; final retrieval TT00CA @ 9:54,,,,,,,,,,,,
